gameid,patch,teamname,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_230810,15.07,T1,Viktor,Yorick,Lee Sin,Jinx,Lulu,1712,0,3,14,9,3,14,0,0,0,0,0,0.1051,0.5958,0,1,2,1,2,0,0,0,0,0,1
LOLTMNT01_228803,15.08,Nongshim RedForce,Xin Zhao,Gwen,Ryze,Zeri,Alistar,1832,1,30,15,75,30,15,6,3,1,0,1,0.9825,1.4738,0,3,2,3,2,0,0,3,0,0,0
LOLTMNT01_228821,15.08,BNK FEARX,Naafiri,Taliyah,Ezreal,Rell,Sion,1946,0,17,22,48,17,22,3,0,0,0,0,0.5242,1.2025,1,2,1,2,1,0,0,1,0,1,0
LOLTMNT01_232663,15.08,DN Freecs,Xin Zhao,Taliyah,Ambessa,Kai'Sa,Neeko,2403,1,17,18,34,17,18,0,0,0,0,0,0.4245,0.8739,0,1,4,0,4,0,0,0,0,0,0
LOLTMNT01_233515,15.08,BNK FEARX,Kalista,Ashe,Ryze,Lillia,Renekton,1735,1,15,7,48,15,7,3,0,0,0,1,0.5187,0.7608,1,3,1,3,1,0,2,0,1,0,0
LOLTMNT01_233535,15.08,DN Freecs,Naafiri,Miss Fortune,Orianna,Gragas,Rakan,1807,0,5,15,9,5,15,0,0,0,0,1,0.166,0.6641,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT01_237541,15.08,BNK FEARX,Jayce,Taliyah,Sejuani,Kai'Sa,Alistar,2090,0,7,15,22,7,15,0,0,0,0,1,0.201,0.6316,1,3,2,3,2,0,0,1,1,1,0
LOLTMNT01_238088,15.08,BNK FEARX,Kalista,Neeko,Jax,Viktor,Skarner,1860,0,11,18,23,11,18,2,0,0,0,0,0.3548,0.9355,0,1,3,1,3,0,0,0,0,0,1
LOLTMNT01_239535,15.08,DRX,Naafiri,Gwen,Aurora,Nautilus,Jhin,2141,1,26,22,71,26,22,4,0,0,0,0,0.7286,1.3452,0,2,3,2,3,2,0,0,0,0,0
LOLTMNT01_240045,15.08,BNK FEARX,Jayce,Skarner,Ahri,Lucian,Milio,2656,0,18,22,41,18,22,2,1,0,0,1,0.4066,0.9036,0,3,4,3,4,1,0,0,0,0,2
LOLTMNT02_257604,15.09,BNK FEARX,Naafiri,Rumble,Annie,Ezreal,Leona,1701,1,29,10,80,29,10,4,1,0,0,1,1.0229,1.3757,0,3,1,3,1,0,0,2,0,0,1
LOLTMNT02_258642,15.09,OKSavingsBank BRION,Vi,Viktor,Sion,Miss Fortune,Nautilus,1769,1,14,11,36,14,11,3,1,0,0,0,0.4748,0.8479,0,1,3,1,3,0,0,0,0,1,0
LOLTMNT02_258663,15.09,BNK FEARX,Ryze,Jayce,Skarner,Jinx,Tahm Kench,1733,1,13,8,33,13,8,1,1,1,1,0,0.4501,0.7271,1,4,0,4,0,1,0,0,2,0,1
LOLTMNT02_262780,15.09,Gen.G,Pantheon,Ahri,Jayce,Xayah,Rakan,2140,1,15,10,40,15,10,0,0,0,0,1,0.4206,0.7009,1,3,2,3,2,2,0,1,0,0,0
LOLTMNT02_262815,15.09,BNK FEARX,Naafiri,Lucian,Nami,Sylas,Aurora,1872,0,7,15,10,7,15,0,0,0,0,0,0.2244,0.7051,0,2,2,2,2,0,0,0,1,1,0
LOLTMNT02_265983,15.09,BNK FEARX,Azir,Rumble,Xin Zhao,Kai'Sa,Neeko,1714,1,21,10,49,21,10,3,1,0,0,0,0.7351,1.0852,0,2,3,2,3,0,1,0,0,1,0
LOLTMNT02_265989,15.09,Nongshim RedForce,Yone,Sejuani,Elise,Miss Fortune,Aatrox,1633,1,17,10,30,17,10,2,1,0,0,0,0.6246,0.992,1,4,0,4,0,0,1,0,2,1,0
LOLTMNT02_265995,15.09,BNK FEARX,Gwen,Nocturne,Annie,Jinx,Lulu,1586,0,7,22,17,7,22,0,0,0,0,0,0.2648,1.0971,1,1,2,1,2,0,0,0,0,0,1
LOLTMNT02_268539,15.09,Dplus KIA,Naafiri,Ahri,Ambessa,Lucian,Braum,1946,1,24,7,54,24,7,5,1,1,1,0,0.74,0.9558,0,2,3,2,3,0,0,0,0,0,2
LOLTMNT02_267792,15.09,BNK FEARX,Gwen,Skarner,Ryze,Xayah,Nautilus,1671,0,5,28,12,5,28,1,0,0,0,1,0.1795,1.1849,1,1,3,1,3,1,0,0,0,0,0
LOLTMNT03_241674,15.1,T1,Viktor,Kalista,Renata Glasc,Yorick,Nocturne,1697,1,21,11,31,21,11,3,0,0,0,0,0.7425,1.1314,0,3,1,3,1,2,0,1,0,0,0
LOLTMNT03_242254,15.1,BNK FEARX,Azir,Poppy,Jayce,Lucian,Braum,2027,0,6,18,10,6,18,0,0,0,0,0,0.1776,0.7104,0,0,5,0,4,0,0,0,0,0,0
LOLTMNT03_244928,15.1,BNK FEARX,Rumble,Varus,Ahri,Nautilus,Naafiri,1768,1,17,3,46,17,3,2,0,0,0,1,0.5769,0.6787,1,2,2,2,2,0,0,1,1,0,0
LOLTMNT03_244951,15.1,KT Rolster,Ryze,Trundle,Jax,Ashe,Poppy,2149,1,21,18,62,21,18,3,1,0,0,1,0.5863,1.0889,1,3,3,3,3,0,2,1,0,0,0
LOLTMNT03_244968,15.1,BNK FEARX,Taliyah,Pantheon,K'Sante,Lucian,Braum,1625,0,8,21,22,8,21,1,0,0,0,1,0.2954,1.0708,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_248140,15.1,BNK FEARX,Rumble,Xin Zhao,Ahri,Kai'Sa,Alistar,2100,1,21,9,53,21,9,4,1,0,0,1,0.6,0.8571,1,4,1,4,1,1,0,0,0,2,1
LOLTMNT03_248153,15.1,DN Freecs,Vi,Orianna,Jax,Ashe,Renata Glasc,1719,1,20,7,54,20,7,3,1,1,0,0,0.6981,0.9424,1,3,1,3,1,0,1,0,0,0,2
LOLTMNT03_247772,15.1,BNK FEARX,Varus,Naafiri,Annie,Rell,K'Sante,1826,1,25,13,77,25,13,5,0,0,0,1,0.8215,1.2486,1,4,1,4,1,0,1,1,0,0,2
LOLTMNT03_253707,15.1,Hanwha Life Esports,Azir,Sion,Trundle,Lucian,Braum,1619,1,19,13,50,19,13,3,0,0,0,0,0.7041,1.1859,0,2,2,2,2,0,0,1,0,0,1
LOLTMNT03_253709,15.1,BNK FEARX,Wukong,Rumble,Alistar,Kai'Sa,Galio,1617,0,8,28,17,8,28,0,0,0,0,1,0.2968,1.3358,1,1,3,1,3,0,1,0,0,0,0
LOLTMNT01_266226,15.14,DN Freecs,Gwen,Nocturne,Orianna,Zeri,Lulu,1798,0,7,11,21,7,11,0,0,0,0,1,0.2336,0.6007,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT01_266234,15.14,DN Freecs,Trundle,Aatrox,Aurora,Jinx,Nautilus,1720,0,13,16,32,13,16,1,0,0,0,0,0.4535,1.0116,1,3,0,3,0,0,1,0,1,0,1
LOLTMNT01_268648,15.14,Dplus KIA,Trundle,Senna,Alistar,Twisted Fate,Jayce,1966,1,19,9,62,19,9,2,0,0,0,0,0.5799,0.8545,0,2,2,2,2,0,0,0,0,0,2
LOLTMNT01_268653,15.14,BNK FEARX,Gwen,Xin Zhao,Varus,Rakan,Ahri,2386,0,12,20,24,12,20,1,0,0,0,1,0.3018,0.8047,1,4,2,4,1,2,1,0,0,1,0
LOLTMNT01_272461,15.14,BNK FEARX,Azir,Wukong,Rumble,Sivir,Braum,2439,1,20,16,68,20,16,5,2,0,0,0,0.492,0.8856,1,4,2,4,2,3,1,0,0,0,0
LOLTMNT01_272463,15.14,OKSavingsBank BRION,Xin Zhao,Akali,Poppy,Corki,Ornn,1830,0,16,27,39,16,27,2,0,0,0,0,0.5246,1.4098,1,2,3,2,3,0,1,0,0,1,0
LOLTMNT01_273361,15.14,BNK FEARX,Varus,Nocturne,Orianna,Aatrox,Rell,1980,1,24,20,58,24,20,2,0,0,0,0,0.7273,1.3333,0,4,1,4,1,3,1,0,0,0,0
LOLTMNT01_273365,15.14,DRX,Xin Zhao,Viktor,Renekton,Senna,Nautilus,2097,1,28,21,80,28,21,4,1,0,0,1,0.8011,1.402,0,3,2,3,2,0,2,0,0,1,0
LOLTMNT01_273370,15.14,BNK FEARX,Gwen,Sivir,Galio,Naafiri,Leona,1683,0,9,17,27,9,17,1,0,0,0,1,0.3209,0.9269,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT02_295398,15.15,OKSavingsBank BRION,Azir,Ornn,Trundle,Lucian,Braum,1917,0,8,15,22,8,15,1,1,1,0,1,0.2504,0.7199,1,2,3,2,3,0,0,0,1,0,1
LOLTMNT02_294485,15.15,OKSavingsBank BRION,Varus,Maokai,Yone,Jax,Neeko,2433,0,15,21,39,15,21,2,0,0,0,0,0.3699,0.8878,1,4,2,4,2,0,3,1,0,0,0
LOLTMNT02_296408,15.15,BNK FEARX,Azir,Gwen,Xin Zhao,Lucian,Braum,2119,1,21,12,46,21,12,1,0,0,0,1,0.5946,0.9344,0,3,2,3,2,0,0,0,0,3,0
LOLTMNT02_296421,15.15,Dplus KIA,Yunara,Ryze,Ambessa,Neeko,Lee Sin,1950,0,8,16,18,8,16,0,0,0,0,1,0.2462,0.7385,0,1,3,1,3,0,0,0,0,0,1
LOLTMNT02_301649,15.15,BNK FEARX,Wukong,Gwen,Annie,Zeri,Lulu,2151,1,17,11,49,17,11,4,1,0,0,0,0.4742,0.781,1,3,3,3,3,2,1,0,0,0,0
LOLTMNT02_301669,15.15,DN Freecs,Pantheon,Rumble,Aurora,Sivir,Rell,1702,1,24,8,67,24,8,3,1,0,0,1,0.8461,1.1281,1,4,0,4,0,2,0,0,1,1,0
LOLTMNT02_301689,15.15,BNK FEARX,Azir,Sion,Alistar,Jhin,Lee Sin,1600,1,25,7,57,25,7,3,0,0,0,1,0.9375,1.2,1,3,0,3,0,1,1,1,0,0,0
LOLTMNT02_303157,15.15,DRX,Wukong,Annie,Aurora,Xayah,Rakan,1861,1,23,10,62,23,10,3,0,0,0,0,0.7415,1.0639,0,2,2,2,2,0,2,0,0,0,0
LOLTMNT02_303158,15.15,BNK FEARX,Taliyah,Jarvan IV,Rumble,Jhin,Rell,1778,1,30,12,71,30,12,4,0,0,0,0,1.0124,1.4173,1,3,0,3,0,0,1,0,1,0,1
LOLTMNT02_302398,15.15,DRX,Sivir,Ambessa,Ryze,Sejuani,Bard,1800,1,22,3,57,22,3,4,1,0,0,1,0.7333,0.8333,0,2,2,2,2,2,0,0,0,0,0
LOLTMNT03_284666,15.16,OKSavingsBank BRION,Wukong,Gwen,Ahri,Sivir,Rell,1761,0,9,23,23,9,23,1,0,0,0,0,0.3066,1.0903,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT03_284695,15.16,OKSavingsBank BRION,Sion,Orianna,Trundle,Corki,Neeko,1807,1,22,12,46,22,12,2,0,0,0,0,0.7305,1.1289,1,2,2,2,2,0,1,0,1,0,0
LOLTMNT03_284713,15.16,BNK FEARX,Azir,Jarvan IV,K'Sante,Kalista,Renata Glasc,1704,1,17,9,41,17,9,2,1,0,0,0,0.5986,0.9155,0,2,2,2,2,0,0,0,0,1,1
LOLTMNT03_288407,15.16,BNK FEARX,Pantheon,Rumble,Varus,Galio,Alistar,2158,0,22,31,54,22,31,1,0,0,0,0,0.6117,1.4736,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT03_288421,15.16,BNK FEARX,Taliyah,Kai'Sa,Neeko,Nocturne,K'Sante,2151,0,17,27,43,17,27,2,0,0,0,0,0.4742,1.2273,1,2,3,2,3,1,0,0,0,1,0
LOLTMNT03_291596,15.16,DN Freecs,Wukong,Neeko,Aurora,Corki,Ambessa,2033,0,11,21,27,11,21,1,0,0,0,1,0.3246,0.9444,1,1,3,1,3,0,0,0,1,0,0
LOLTMNT03_291623,15.16,DN Freecs,Orianna,Nocturne,K'Sante,Zeri,Alistar,1821,0,19,25,47,19,25,1,0,0,0,1,0.626,1.4498,0,1,3,1,3,0,0,0,0,0,1
LOLTMNT03_293371,15.16,BNK FEARX,Rumble,Wukong,Neeko,Sivir,Ryze,1922,0,11,17,28,11,17,1,1,0,0,1,0.3434,0.8741,0,2,3,2,3,0,0,1,1,0,0
LOLTMNT03_293376,15.16,BNK FEARX,Pantheon,Xayah,Rakan,Akali,Jax,1696,1,20,10,55,20,10,2,0,0,0,1,0.7075,1.0613,1,3,0,3,0,0,0,1,1,0,1
LOLTMNT03_294392,15.16,DRX,Azir,Alistar,Jhin,Lee Sin,K'Sante,1919,0,15,24,40,15,24,1,0,0,0,0,0.469,1.2194,0,1,4,1,4,1,0,0,0,0,0
LOLTMNT01_281588,15.17,Dplus KIA,Azir,Trundle,Aurora,Corki,Nautilus,1827,1,22,12,43,22,12,5,1,0,0,1,0.7225,1.1166,1,4,0,4,0,0,1,0,0,1,2
LOLTMNT01_280941,15.17,BNK FEARX,Pantheon,Kai'Sa,Neeko,Aatrox,Morgana,1684,1,24,4,66,24,4,2,1,1,0,0,0.8551,0.9976,0,3,1,3,1,0,1,0,0,0,2
LOLTMNT01_281603,15.17,Dplus KIA,Vi,Ahri,K'Sante,Kalista,Renata Glasc,1643,0,3,29,8,3,29,0,0,0,0,0,0.1096,1.1686,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT01_280961,15.17,Dplus KIA,Yunara,Rell,Gwen,Sejuani,Viego,2281,1,18,13,29,18,13,2,0,0,0,1,0.4735,0.8154,1,4,2,4,2,1,1,2,0,0,0
LOLTMNT01_281636,15.17,BNK FEARX,Twisted Fate,Skarner,Jayce,Ezreal,Leona,1857,1,18,10,49,18,10,3,2,0,0,0,0.5816,0.9047,0,1,3,1,3,0,1,0,0,0,0
LOLTMNT01_281893,15.17,Nongshim RedForce,Yunara,Orianna,Nocturne,Galio,Alistar,1732,0,10,23,14,10,23,1,0,0,0,1,0.3464,1.1432,1,2,1,2,1,1,1,0,0,0,0
LOLTMNT01_281906,15.17,Nongshim RedForce,Ryze,Sivir,Jarvan IV,Yorick,Bard,1710,0,5,15,6,5,15,0,0,0,0,0,0.1754,0.7018,0,1,3,1,3,0,0,0,0,1,0
LOLTMNT01_282298,15.17,Nongshim RedForce,Neeko,Vi,Ahri,Kai'Sa,Gnar,1993,1,23,22,46,23,22,5,3,0,0,0,0.6924,1.3547,0,1,3,1,3,0,0,0,0,1,0
LOLTMNT01_281961,15.17,BNK FEARX,Sion,Ezreal,Leona,Lee Sin,Twisted Fate,1694,1,20,8,46,20,8,1,0,0,0,1,0.7084,0.9563,1,4,0,4,0,0,2,0,1,0,1
