gameid,patch,teamname,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT01_268653,15.14,Dplus KIA,Wukong,Rumble,Orianna,Jhin,Maokai,2386,1,20,12,49,20,12,2,0,0,0,0,0.5029,0.8047,0,2,4,1,4,1,0,0,0,0,0
LOLTMNT01_272461,15.14,OKSavingsBank BRION,Gwen,Vi,Ahri,Lucian,Rell,2439,0,16,20,39,16,20,2,1,0,0,1,0.3936,0.8856,0,2,4,2,4,1,0,0,0,0,1
LOLTMNT01_273361,15.14,DRX,Rumble,Trundle,Jhin,Alistar,Ahri,1980,0,20,24,54,20,24,3,0,0,0,1,0.6061,1.3333,1,1,4,1,4,0,0,1,0,0,0
LOLTMNT01_273370,15.14,DRX,Aurora,Jarvan IV,Ambessa,Lulu,Zeri,1683,1,17,9,52,17,9,4,1,1,0,0,0.6061,0.9269,1,3,1,3,1,0,1,1,1,0,0
LOLTMNT02_296408,15.15,Dplus KIA,Varus,Rumble,Yone,Sejuani,Alistar,2119,0,12,21,29,12,21,0,0,0,0,0,0.3398,0.9344,1,2,3,2,3,0,1,0,1,0,0
LOLTMNT02_301649,15.15,DN Freecs,Galio,Xin Zhao,Ambessa,Lucian,Nami,2151,0,11,17,35,11,17,1,0,0,0,1,0.3068,0.781,0,3,3,3,3,2,0,1,0,0,0
LOLTMNT02_301689,15.15,DN Freecs,Taliyah,Trundle,Nautilus,K'Sante,Aphelios,1600,0,7,25,13,7,25,0,0,0,0,0,0.2625,1.2,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT02_303158,15.15,DRX,Neeko,Trundle,Ahri,Corki,Aatrox,1778,0,12,30,20,12,30,0,0,0,0,1,0.4049,1.4173,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_284713,15.16,OKSavingsBank BRION,Lucian,Pantheon,Braum,Yorick,LeBlanc,1704,0,9,17,18,9,17,1,0,0,0,1,0.3169,0.9155,1,2,2,2,2,0,0,1,0,1,0
LOLTMNT03_288407,15.16,Dplus KIA,Gwen,Xin Zhao,Jhin,Annie,Rakan,2158,1,31,22,77,31,22,6,1,0,0,1,0.8619,1.4736,1,4,0,4,0,1,1,0,0,2,0
LOLTMNT03_288421,15.16,Dplus KIA,Ahri,Sion,Jarvan IV,Lulu,Zeri,2151,1,27,17,70,27,17,1,0,0,0,1,0.7531,1.2273,0,3,2,3,2,2,0,0,1,0,0
LOLTMNT03_293371,15.16,DRX,Gwen,Orianna,Xin Zhao,Corki,Bard,1922,1,17,11,35,17,11,4,0,0,0,0,0.5307,0.8741,1,3,2,3,2,0,0,0,2,1,0
LOLTMNT03_293376,15.16,DRX,Ambessa,Taliyah,Jarvan IV,Lucian,Braum,1696,0,10,20,34,10,20,1,1,0,0,0,0.3538,1.0613,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT01_280941,15.17,Dplus KIA,Jarvan IV,Annie,Renekton,Xayah,Lulu,1684,0,4,24,7,4,24,0,0,0,0,1,0.1425,0.9976,1,1,3,1,3,0,0,0,0,1,0
LOLTMNT01_281636,15.17,Dplus KIA,Jhin,Bard,Zed,Mel,Camille,1857,0,10,18,29,10,18,1,0,0,0,1,0.3231,0.9047,1,3,1,3,1,1,1,1,0,0,0
LOLTMNT01_281961,15.17,Nongshim RedForce,Maokai,Senna,Aatrox,Tahm Kench,Smolder,1694,0,7,20,10,7,20,1,0,0,0,0,0.2479,0.9563,0,0,4,0,4,0,0,0,0,0,0
