gameid,patch,teamname,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT01_233515,15.08,DN Freecs,Renata Glasc,Skarner,Draven,Ahri,K'Sante,1735,0,7,15,16,7,15,0,0,0,0,0,0.2421,0.7608,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT01_233535,15.08,BNK FEARX,Viktor,Pantheon,Jax,Alistar,Lucian,1807,1,15,5,37,15,5,2,1,0,0,0,0.4981,0.6641,1,4,0,4,0,0,1,0,0,2,1
LOLTMNT01_237541,15.08,Hanwha Life Esports,Gwen,Xin Zhao,Varus,Ryze,Rakan,2090,1,15,7,45,15,7,0,0,0,0,0,0.4306,0.6316,0,2,3,2,3,0,0,0,2,0,0
LOLTMNT01_238088,15.08,Hanwha Life Esports,Renata Glasc,Ashe,Poppy,Kennen,Sylas,1860,1,18,13,31,18,13,4,0,0,0,1,0.5806,0.9355,1,3,1,3,1,1,0,0,1,0,1
LOLTMNT01_239535,15.08,BNK FEARX,Azir,Xin Zhao,Rumble,Leona,Kai'Sa,2141,0,22,26,46,22,26,4,0,0,0,1,0.6165,1.3452,1,3,2,3,2,1,1,1,0,0,0
LOLTMNT01_240045,15.08,DRX,Ezreal,Taliyah,Sion,Rell,Viego,2656,1,22,18,46,22,18,4,0,0,0,0,0.497,0.9036,1,4,3,4,3,0,1,0,0,0,3
LOLTMNT02_257604,15.09,OKSavingsBank BRION,Gwen,Ahri,Wukong,Varus,Braum,1701,0,10,29,24,10,29,0,0,0,0,0,0.3527,1.3757,1,1,3,1,3,0,0,0,0,1,0
LOLTMNT02_258642,15.09,BNK FEARX,Taliyah,Xin Zhao,Xayah,Alistar,Ambessa,1769,0,11,14,21,11,14,0,0,0,0,1,0.3731,0.8479,1,3,1,3,1,1,0,0,0,1,1
LOLTMNT02_258663,15.09,OKSavingsBank BRION,Nocturne,Orianna,Yorick,Kai'Sa,Neeko,1733,0,8,13,18,8,13,0,0,0,0,1,0.277,0.7271,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT02_262780,15.09,BNK FEARX,Azir,Gwen,Ezreal,Wukong,Leona,2140,0,10,15,18,10,15,1,1,0,0,0,0.2804,0.7009,0,2,3,2,3,1,0,0,1,0,0
LOLTMNT02_262815,15.09,Gen.G,Rumble,Zed,Galio,Zeri,Lulu,1872,1,15,7,38,15,7,3,0,0,0,1,0.4808,0.7051,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT02_265983,15.09,Nongshim RedForce,Jayce,Pantheon,Ahri,Kalista,Shen,1714,0,10,21,20,10,21,1,0,0,0,1,0.3501,1.0852,1,3,2,3,2,0,0,0,0,2,1
LOLTMNT02_265989,15.09,BNK FEARX,Sion,Lucian,Milio,Maokai,Tristana,1633,0,10,17,26,10,17,2,0,0,0,1,0.3674,0.992,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT02_265995,15.09,Nongshim RedForce,Poppy,Ryze,Ambessa,Xayah,Blitzcrank,1586,1,22,7,45,22,7,4,1,0,0,1,0.8323,1.0971,0,2,1,2,1,0,1,0,0,1,0
LOLTMNT02_268539,15.09,BNK FEARX,Rumble,Taliyah,Wukong,Ezreal,Neeko,1946,0,7,24,15,7,24,1,1,1,0,1,0.2158,0.9558,1,3,2,3,2,0,0,0,1,1,1
LOLTMNT02_267792,15.09,Dplus KIA,Azir,Pantheon,Jax,Alistar,Zeri,1671,1,28,5,63,28,5,5,2,1,1,0,1.0054,1.1849,0,3,1,3,1,0,0,0,0,2,1
LOLTMNT03_241674,15.1,BNK FEARX,Xin Zhao,Neeko,Ezreal,Annie,Olaf,1697,0,11,21,25,11,21,1,0,0,0,1,0.3889,1.1314,1,1,3,1,3,0,0,0,1,0,0
LOLTMNT03_242254,15.1,T1,Rumble,Skarner,Smolder,Senna,Nautilus,2027,1,18,6,43,18,6,3,1,0,0,1,0.5328,0.7104,1,5,0,4,0,0,2,1,0,0,1
LOLTMNT03_244928,15.1,KT Rolster,Nidalee,Azir,Jayce,Jhin,Rell,1768,0,3,17,6,3,17,0,0,0,0,0,0.1018,0.6787,0,2,2,2,2,2,0,0,0,0,0
LOLTMNT03_244951,15.1,BNK FEARX,Yorick,Xin Zhao,Akali,Leona,Kai'Sa,2149,0,18,21,41,18,21,2,0,0,0,0,0.5026,1.0889,0,3,3,3,3,0,2,0,0,0,1
LOLTMNT03_244968,15.1,KT Rolster,Wukong,Renekton,Alistar,Ezreal,Syndra,1625,1,21,8,58,21,8,4,0,0,0,0,0.7754,1.0708,1,3,0,3,0,0,1,0,1,1,0
LOLTMNT03_248140,15.1,DN Freecs,Azir,Pantheon,Ambessa,Miss Fortune,Gragas,2100,0,9,21,18,9,21,0,0,0,0,0,0.2571,0.8571,0,1,4,1,4,0,0,0,0,1,0
LOLTMNT03_248153,15.1,BNK FEARX,Ryze,Yorick,Wukong,Rakan,Jhin,1719,0,7,20,17,7,20,0,0,0,0,1,0.2443,0.9424,0,1,3,1,3,0,0,0,0,1,0
LOLTMNT03_247772,15.1,DN Freecs,Lucian,Jayce,Galio,Braum,Kindred,1826,0,13,25,33,13,25,3,0,0,0,0,0.4272,1.2486,0,1,4,1,4,0,0,0,0,0,1
LOLTMNT03_253707,15.1,BNK FEARX,Xin Zhao,Varus,Ahri,Ambessa,Renata Glasc,1619,0,13,19,34,13,19,1,0,0,0,1,0.4818,1.1859,1,2,2,2,2,1,0,1,0,0,0
LOLTMNT03_253709,15.1,Hanwha Life Esports,Gwen,Pantheon,Viktor,Shen,Xayah,1617,1,28,8,70,28,8,7,0,0,0,0,1.039,1.3358,0,3,1,3,1,0,0,0,2,1,0
LOLTMNT01_266226,15.14,BNK FEARX,Taliyah,Vi,Rumble,Alistar,Kai'Sa,1798,1,11,7,25,11,7,2,0,0,0,0,0.3671,0.6007,1,4,0,4,0,1,2,0,1,0,0
LOLTMNT01_266234,15.14,BNK FEARX,Annie,Wukong,Yorick,Sivir,Rell,1720,1,16,13,43,16,13,1,0,0,0,1,0.5581,1.0116,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT01_268648,15.14,BNK FEARX,Lucian,Taliyah,Braum,Ambessa,Jarvan IV,1966,0,9,19,23,9,19,0,0,0,0,1,0.2747,0.8545,1,2,2,2,2,0,1,1,0,0,0
LOLTMNT01_268653,15.14,Dplus KIA,Wukong,Rumble,Orianna,Jhin,Maokai,2386,1,20,12,49,20,12,2,0,0,0,0,0.5029,0.8047,0,2,4,1,4,1,0,0,0,0,0
LOLTMNT01_272461,15.14,OKSavingsBank BRION,Gwen,Vi,Ahri,Lucian,Rell,2439,0,16,20,39,16,20,2,1,0,0,1,0.3936,0.8856,0,2,4,2,4,1,0,0,0,0,1
LOLTMNT01_272463,15.14,BNK FEARX,Renekton,Orianna,Nocturne,Alistar,Kai'Sa,1830,1,27,16,79,27,16,4,0,0,0,1,0.8852,1.4098,0,3,2,3,2,3,0,0,0,0,0
LOLTMNT01_273361,15.14,DRX,Rumble,Trundle,Jhin,Alistar,Ahri,1980,0,20,24,54,20,24,3,0,0,0,1,0.6061,1.3333,1,1,4,1,4,0,0,1,0,0,0
LOLTMNT01_273365,15.14,BNK FEARX,Vi,Ryze,Neeko,Corki,K'Sante,2097,0,21,28,53,21,28,3,1,0,0,0,0.6009,1.402,1,2,3,2,3,0,1,0,1,0,0
LOLTMNT01_273370,15.14,DRX,Aurora,Jarvan IV,Ambessa,Lulu,Zeri,1683,1,17,9,52,17,9,4,1,1,0,0,0.6061,0.9269,1,3,1,3,1,0,1,1,1,0,0
LOLTMNT02_295398,15.15,BNK FEARX,Wukong,Rumble,Taliyah,Yunara,Rakan,1917,1,15,8,49,15,8,4,0,0,0,0,0.4695,0.7199,0,3,2,3,2,0,3,0,0,0,0
LOLTMNT02_294485,15.15,BNK FEARX,Orianna,Xin Zhao,Jhin,Ambessa,Bard,2433,1,21,15,54,21,15,1,0,0,0,1,0.5179,0.8878,0,2,4,2,4,0,1,0,0,1,0
LOLTMNT02_296408,15.15,Dplus KIA,Varus,Rumble,Yone,Sejuani,Alistar,2119,0,12,21,29,12,21,0,0,0,0,0,0.3398,0.9344,1,2,3,2,3,0,1,0,1,0,0
LOLTMNT02_296421,15.15,BNK FEARX,Trundle,Kai'Sa,Renekton,Ahri,Rell,1950,1,16,8,46,16,8,2,0,0,0,0,0.4923,0.7385,1,3,1,3,1,0,0,0,2,1,0
LOLTMNT02_301649,15.15,DN Freecs,Galio,Xin Zhao,Ambessa,Lucian,Nami,2151,0,11,17,35,11,17,1,0,0,0,1,0.3068,0.781,0,3,3,3,3,2,0,1,0,0,0
LOLTMNT02_301669,15.15,BNK FEARX,Ryze,Nocturne,Aatrox,Rakan,Kai'Sa,1702,0,8,24,19,8,24,0,0,0,0,0,0.282,1.1281,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT02_301689,15.15,DN Freecs,Taliyah,Trundle,Nautilus,K'Sante,Aphelios,1600,0,7,25,13,7,25,0,0,0,0,0,0.2625,1.2,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT02_303157,15.15,BNK FEARX,Gwen,Xin Zhao,Galio,Lucian,Braum,1861,0,10,23,21,10,23,2,0,0,0,1,0.3224,1.0639,1,2,2,2,2,0,0,0,1,0,1
LOLTMNT02_303158,15.15,DRX,Neeko,Trundle,Ahri,Corki,Aatrox,1778,0,12,30,20,12,30,0,0,0,0,1,0.4049,1.4173,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT02_302398,15.15,BNK FEARX,Vi,Sion,Cassiopeia,Karma,Zeri,1800,0,3,22,6,3,22,0,0,0,0,0,0.1,0.8333,1,2,2,2,2,0,0,1,0,1,0
LOLTMNT03_284666,15.16,BNK FEARX,Rumble,Taliyah,Xin Zhao,Rakan,Kai'Sa,1761,1,23,9,68,23,9,4,2,0,0,1,0.7836,1.0903,1,4,0,4,0,0,2,0,1,1,0
LOLTMNT03_284695,15.16,BNK FEARX,Renekton,Vi,Alistar,Viktor,Jhin,1807,0,12,22,28,12,22,1,1,0,0,1,0.3985,1.1289,0,2,2,2,2,0,1,1,0,0,0
LOLTMNT03_284713,15.16,OKSavingsBank BRION,Lucian,Pantheon,Braum,Yorick,LeBlanc,1704,0,9,17,18,9,17,1,0,0,0,1,0.3169,0.9155,1,2,2,2,2,0,0,1,0,1,0
LOLTMNT03_288407,15.16,Dplus KIA,Gwen,Xin Zhao,Jhin,Annie,Rakan,2158,1,31,22,77,31,22,6,1,0,0,1,0.8619,1.4736,1,4,0,4,0,1,1,0,0,2,0
LOLTMNT03_288421,15.16,Dplus KIA,Ahri,Sion,Jarvan IV,Lulu,Zeri,2151,1,27,17,70,27,17,1,0,0,0,1,0.7531,1.2273,0,3,2,3,2,2,0,0,1,0,0
LOLTMNT03_291596,15.16,BNK FEARX,Yunara,Annie,Xin Zhao,Lulu,Renekton,2033,1,21,11,66,21,11,4,2,0,0,0,0.6198,0.9444,0,3,1,3,1,1,2,0,0,0,0
LOLTMNT03_291623,15.16,BNK FEARX,Sion,Jarvan IV,Ryze,Sivir,Rakan,1821,1,25,19,74,25,19,5,1,0,0,0,0.8237,1.4498,1,3,1,3,1,0,1,0,0,1,1
LOLTMNT03_293371,15.16,DRX,Gwen,Orianna,Xin Zhao,Corki,Bard,1922,1,17,11,35,17,11,4,0,0,0,0,0.5307,0.8741,1,3,2,3,2,0,0,0,2,1,0
LOLTMNT03_293376,15.16,DRX,Ambessa,Taliyah,Jarvan IV,Lucian,Braum,1696,0,10,20,34,10,20,1,1,0,0,0,0.3538,1.0613,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_294392,15.16,BNK FEARX,Sion,Yone,Sylas,Kalista,Renata Glasc,1919,1,24,15,68,24,15,4,2,1,0,1,0.7504,1.2194,1,4,1,4,1,0,0,0,1,3,0
LOLTMNT01_281588,15.17,BNK FEARX,Taliyah,Xin Zhao,Ambessa,Alistar,Sivir,1827,0,12,22,24,12,22,0,0,0,0,0,0.3941,1.1166,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT01_280941,15.17,Dplus KIA,Jarvan IV,Annie,Renekton,Xayah,Lulu,1684,0,4,24,7,4,24,0,0,0,0,1,0.1425,0.9976,1,1,3,1,3,0,0,0,0,1,0
LOLTMNT01_281603,15.17,BNK FEARX,Lucian,Sion,Braum,Ryze,Naafiri,1643,1,29,3,87,29,3,7,3,0,0,1,1.059,1.1686,1,3,0,3,0,0,1,0,1,1,0
LOLTMNT01_280961,15.17,BNK FEARX,Rumble,Wukong,Rakan,Galio,Vayne,2281,0,13,18,37,13,18,0,0,0,0,0,0.342,0.8154,0,2,4,2,4,0,0,2,0,0,0
LOLTMNT01_281636,15.17,Dplus KIA,Jhin,Bard,Zed,Mel,Camille,1857,0,10,18,29,10,18,1,0,0,0,1,0.3231,0.9047,1,3,1,3,1,1,1,1,0,0,0
LOLTMNT01_281893,15.17,BNK FEARX,Annie,Wukong,Rumble,Corki,Rakan,1732,1,23,10,50,23,10,3,1,0,0,0,0.7968,1.1432,0,1,2,1,2,0,0,0,0,0,1
LOLTMNT01_281906,15.17,BNK FEARX,Taliyah,Xin Zhao,Ambessa,Zeri,Rell,1710,1,15,5,37,15,5,0,0,0,0,1,0.5263,0.7018,1,3,1,3,1,1,0,0,1,1,0
LOLTMNT01_282298,15.17,BNK FEARX,Aurora,Lucian,Braum,Gwen,Naafiri,1993,0,22,23,47,22,23,2,0,0,0,1,0.6623,1.3547,1,3,1,3,1,0,0,1,0,1,1
LOLTMNT01_281961,15.17,Nongshim RedForce,Maokai,Senna,Aatrox,Tahm Kench,Smolder,1694,0,7,20,10,7,20,1,0,0,0,0,0.2479,0.9563,0,0,4,0,4,0,0,0,0,0,0
